cohort,matrix,scale,model,linkage,K,silhouette,CH,DB,stability_ari_mean,stability_ari_sd,stability_source,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,degeneracy_note
B,B_LOG,Log1p,Spectral,kNN_k10_NJW,3,0.09448,108.0,2.4353,,,NA (not generated),0.2637,0.4105,1.56,False,eigengap_prev=0.01198; eigengap_next=0.08792
B,B_LOG,Log1p,Spectral,kNN_k10_NJW,4,0.07783,91.52,2.5702,,,NA (not generated),0.1975,0.2751,1.39,False,eigengap_prev=0.08792; eigengap_next=0.02077
B,B_LOG,Log1p,Spectral,kNN_k10_NJW,5,0.06476,78.2,2.6824,,,NA (not generated),0.1313,0.2513,1.91,False,eigengap_prev=0.02077; eigengap_next=0.01228
B,B_LOG,Log1p,Spectral,kNN_k10_NJW,6,0.07239,71.42,2.62,,,NA (not generated),0.0476,0.2265,4.76,False,eigengap_prev=0.01228; eigengap_next=0.02620
B,B_LOG,Log1p,Spectral,kNN_k10_NJW,7,0.06087,64.49,2.5764,,,NA (not generated),0.0465,0.2244,4.82,False,eigengap_prev=0.02620; eigengap_next=0.02616
B,B_LOG,Log1p,Hierarchical,Ward,2,0.0957,97.02,2.9818,0.1945,0.1498,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.3744,0.6256,1.67,False,
B,B_LOG,Log1p,Hierarchical,Ward,3,0.06455,87.64,2.7783,0.318,0.0936,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.2834,0.3744,1.32,False,
B,B_LOG,Log1p,Hierarchical,Ward,4,0.06565,76.22,2.7146,0.3294,0.0626,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.1158,0.3423,2.96,False,
B,B_LOG,Log1p,Hierarchical,Ward,5,0.05318,66.95,2.94,0.3678,0.0541,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.1158,0.2834,2.45,False,
B,B_LOG,Log1p,Hierarchical,Ward,6,0.05707,60.86,2.748,0.3676,0.0539,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0372,0.2834,7.61,False,
B,B_LOG,Log1p,Hierarchical,Ward,7,0.0462,54.87,2.9525,0.3503,0.0471,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0372,0.2585,6.94,False,
B,B_LOG,Log1p,Hierarchical,Complete,2,0.52928,7.69,0.3506,,,excluded — degenerate outlier-peeling,0.001,0.999,966.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_LOG,Log1p,Hierarchical,Complete,3,0.05976,36.37,2.5558,,,excluded — degenerate outlier-peeling,0.001,0.5905,571.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_LOG,Log1p,Hierarchical,Complete,4,0.06356,35.18,2.2765,,,excluded — degenerate outlier-peeling,0.001,0.5677,549.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_LOG,Log1p,Hierarchical,Complete,5,0.05769,33.91,2.54,,,excluded — degenerate outlier-peeling,0.001,0.484,468.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_LOG,Log1p,Hierarchical,Complete,6,0.05765,28.2,2.1963,,,excluded — degenerate outlier-peeling,0.001,0.484,468.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_LOG,Log1p,Hierarchical,Complete,7,0.04297,34.04,2.2513,,,excluded — degenerate outlier-peeling,0.001,0.484,468.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_LOG,Log1p,Hierarchical,Average,2,0.52928,7.69,0.3506,,,excluded — degenerate outlier-peeling,0.001,0.999,966.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_LOG,Log1p,Hierarchical,Average,3,0.40506,6.12,0.4212,,,excluded — degenerate outlier-peeling,0.001,0.9979,965.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_LOG,Log1p,Hierarchical,Average,4,0.354,5.41,0.4467,,,excluded — degenerate outlier-peeling,0.001,0.9969,964.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_LOG,Log1p,Hierarchical,Average,5,0.31588,4.95,0.4654,,,excluded — degenerate outlier-peeling,0.001,0.9959,963.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
